codigo_curso;nombre_curso;seccion;evaluacion;nombre_docente;tipo;aula;dia;inicio;fin;vacantes;;
BQU01;QUIMICA I;Y;F;GOMEZ GALVEZ, SUSANA TERESA;P;S4-112;LU;10;12;32;;
BQU01;QUIMICA I;Y;F;REYES ACOSTA, ROSARIO  ;T;S4-206;MA;10;12;32;;
BQU01;QUIMICA I;Y;F;REYES ACOSTA, ROSARIO  ;T;S4-112;MA;14;16;32;;
BQU01;QUIMICA I;Z;F;RONDINEL PINEDA, PETRA ELINE;LAB;LAB-QUIM;JU;13;15;32;;
BQU01;QUIMICA I;Z;F;VALENZUELA GONZALEZ, ERIK OMAR;P;S4-201;JU;13;15;32;;
BQU01;QUIMICA I;Z;F;FUKUDA KAGAMI, NANCY ELENA;T;S4-112;MI;14;16;32;;
BQU01;QUIMICA I;Z;F;FUKUDA KAGAMI, NANCY ELENA;T;S4-203;JU;10;12;32;;
BRC01;REDACCION Y COMUNICACION;U;D;CHAVARRI ARCE, RAQUEL MARTHA;P;S4-109;MA;9;11;44;;
BRC01;REDACCION Y COMUNICACION;U;D;CHAVARRI ARCE, RAQUEL MARTHA;T;S4-109;MA;8;9;44;;
BRC01;REDACCION Y COMUNICACION;V;D;ACEVEDO RAYMUNDO, SAUL  ;P;S4-207;LU;14;16;44;;
BRC01;REDACCION Y COMUNICACION;V;D;ACEVEDO RAYMUNDO, SAUL  ;T;S4-207;LU;13;14;44;;
BRC01;REDACCION Y COMUNICACION;W;D;ACEVEDO RAYMUNDO, SAUL  ;P;S4-205;LU;10;12;44;;
BRC01;REDACCION Y COMUNICACION;W;D;ACEVEDO RAYMUNDO, SAUL  ;T;S4-205;LU;9;10;44;;
BRC01;REDACCION Y COMUNICACION;X;D;CHAVARRI ARCE, RAQUEL MARTHA;P;S4-109;JU;9;11;44;;
BRC01;REDACCION Y COMUNICACION;X;D;CHAVARRI ARCE, RAQUEL MARTHA;T;S4-109;JU;8;9;44;;
BRC01;REDACCION Y COMUNICACION;Y;D;CAMPANA AÑASCO, RILDO  ;P;S4-111;JU;9;11;44;;
BRC01;REDACCION Y COMUNICACION;Y;D;CAMPANA AÑASCO, RILDO  ;T;S4-111;JU;8;9;44;;
BRC01;REDACCION Y COMUNICACION;Z;D;CUROTTO CORNEJO, MARIA MERCEDES;P;S4-201;JU;16;18;44;;
BRC01;REDACCION Y COMUNICACION;Z;D;CUROTTO CORNEJO, MARIA MERCEDES;T;S4-201;JU;15;16;44;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;U;D;HUERTA ORTEGA, JAVIER ARMANDO;P;S7-104;VI;12;14;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;U;D;HUERTA ORTEGA, JAVIER ARMANDO;T;S7-104;VI;10;12;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;V;D;MONDRAGÓN HERNÁNDEZ, MARGARITA DELICIA;P;S7-106;MI;16;18;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;V;D;MONDRAGÓN HERNÁNDEZ, MARGARITA DELICIA;T;S7-106;MA;16;18;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;W;D;MONDRAGÓN HERNÁNDEZ, MARGARITA DELICIA;P;S7-106;MI;8;10;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;W;D;MONDRAGÓN HERNÁNDEZ, MARGARITA DELICIA;T;S7-106;MA;10;12;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;X;D;LEÓN ZÁRATE, ANA MERCEDES;P;S7-105;JU;12;14;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;X;D;LEÓN ZÁRATE, ANA MERCEDES;T;S7-105;JU;14;16;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;Y;D;SANCHEZ HUARINGA, CARLOS  ;P;S7-105;MA;20;22;37;;
BRN01;REALIDAD NACIONAL, CONSTITUCION Y DERECHOS HUMANOS;Y;D;SANCHEZ HUARINGA, CARLOS  ;T;S7-105;MA;18;20;37;;
FB101;GEOMETRIA ANALITICA;A;G;BONIFACIO CASTRO, ALEXANDER ABEL;P;S4-210;VI;10;12;39;;
FB101;GEOMETRIA ANALITICA;A;G;BONIFACIO CASTRO, ALEXANDER ABEL;T;S4-203;MI;8;10;39;;
FB101;GEOMETRIA ANALITICA;B;G;NN;P;S4-201;VI;10;12;39;;
FB101;GEOMETRIA ANALITICA;B;G;NN;T;S4-204;MI;16;18;39;;
FB101;GEOMETRIA ANALITICA;U;G;ACOSTA DE LA CRUZ, PEDRO RAUL;P;S4-212;VI;10;12;39;;
FB101;GEOMETRIA ANALITICA;U;G;ACOSTA DE LA CRUZ, PEDRO RAUL;T;S4-212;MI;8;10;39;;
FB101;GEOMETRIA ANALITICA;V;G;VASQUEZ DOMINGUEZ, RIQUELMER APOLINARIO;P;S4-216;VI;10;12;39;;
FB101;GEOMETRIA ANALITICA;V;G;VASQUEZ DOMINGUEZ, RIQUELMER APOLINARIO;T;S4-216;MI;10;12;39;;
FB101;GEOMETRIA ANALITICA;W;G;ACOSTA DE LA CRUZ, PEDRO RAUL;P;S4-212;MI;10;12;39;;
FB101;GEOMETRIA ANALITICA;W;G;ACOSTA DE LA CRUZ, PEDRO RAUL;T;S4-212;LU;8;10;39;;
FB101;GEOMETRIA ANALITICA;W;G;;;S2-135;VI;10;12;39;;
FB101;GEOMETRIA ANALITICA;X;G;MONCADA CAJAVILCA, VICTOR JOSÉ;P;S4-206;VI;10;12;39;;
FB101;GEOMETRIA ANALITICA;X;G;VASQUEZ DOMINGUEZ, RIQUELMER APOLINARIO;T;S4-110;LU;14;16;39;;
FB101;GEOMETRIA ANALITICA;Y;G;BONIFACIO CASTRO, ALEXANDER ABEL;P;S4-212;VI;8;10;39;;
FB101;GEOMETRIA ANALITICA;Y;G;BONIFACIO CASTRO, ALEXANDER ABEL;T;S4-206;LU;10;12;39;;
FB101;GEOMETRIA ANALITICA;Y;G;;;S2-136;VI;10;12;39;;
FB101;GEOMETRIA ANALITICA;Z;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;T;S4-205;MI;8;10;39;;
FB101;GEOMETRIA ANALITICA;Z;G;KALA BÉJAR, LOURDES CRISTINA;T;S4-110;VI;10;12;39;;
FB202;QUIMICA II;U;F;FUKUDA KAGAMI, NANCY ELENA;LAB;LAB-QUIM;LU;12;14;32;;
FB202;QUIMICA II;U;F;LESCANO AVILA, LUIS ALBERTO;P;S4-112;LU;12;14;32;;
FB202;QUIMICA II;U;F;LESCANO AVILA, LUIS ALBERTO;T;S4-216;JU;16;19;32;;
FB202;QUIMICA II;V;F;GOMEZ GALVEZ, SUSANA TERESA;LAB;LAB-QUIM;MI;12;14;32;;
FB202;QUIMICA II;V;F;LESCANO AVILA, LUIS ALBERTO;P;S4-210;MI;12;14;32;;
FB202;QUIMICA II;V;F;ALCANTARA MALCA, DANIEL ADOLFO;T;S4-208;LU;13;16;32;;
FB202;QUIMICA II;W;F;GOMEZ GALVEZ, SUSANA TERESA;LAB;LAB-QUIM;MI;14;16;32;;
FB202;QUIMICA II;W;F;LESCANO AVILA, LUIS ALBERTO;P;S4-206;MI;14;16;32;;
FB202;QUIMICA II;W;F;CHAFLOQUE ELIAS, CARLOS ALBERTO;T;S4-216;JU;8;11;32;;
FB301;MATEMATICA DISCRETA;U;G;BENITES YARLEQUÉ, JOSÉ VALERIO;P;S4-203;LU;8;10;39;;
FB301;MATEMATICA DISCRETA;U;G;BENITES YARLEQUÉ, JOSÉ VALERIO;T;S4-110;JU;8;10;39;;
FB301;MATEMATICA DISCRETA;V;G;TOCTO INGA, PAUL MILLER;P;S4-201;LU;8;10;39;;
FB301;MATEMATICA DISCRETA;V;G;TOCTO INGA, PAUL MILLER;T;S4-112;MA;10;12;39;;
FB301;MATEMATICA DISCRETA;W;G;BENITES YARLEQUÉ, JOSÉ VALERIO;P;S4-216;VI;16;18;39;;
FB301;MATEMATICA DISCRETA;W;G;;P;S4-210;LU;8;10;39;;
FB301;MATEMATICA DISCRETA;W;G;BENITES YARLEQUÉ, JOSÉ VALERIO;T;S4-203;MA;8;10;39;;
FB301;MATEMATICA DISCRETA;X;G;BONIFACIO CASTRO, ALEXANDER ABEL;P;S4-211;LU;8;10;39;;
FB301;MATEMATICA DISCRETA;X;G;BONIFACIO CASTRO, ALEXANDER ABEL;T;S4-202;MI;10;12;39;;
FB301;MATEMATICA DISCRETA;Y;G;TOCTO INGA, PAUL MILLER;P;S4-210;JU;8;10;39;;
FB301;MATEMATICA DISCRETA;Y;G;;P;S4-202;LU;8;10;39;;
FB301;MATEMATICA DISCRETA;Y;G;TOCTO INGA, PAUL MILLER;T;S4-210;LU;10;12;39;;
FB303;CALCULO MULTIVARIABLE;U;G;ALVARADO RODRÍGUEZ, JOSÉ LUIS;P;S4-110;VI;14;16;36;;
FB303;CALCULO MULTIVARIABLE;U;G;ALVARADO RODRÍGUEZ, JOSÉ LUIS;T;S4-111;SA;8;10;36;;
FB303;CALCULO MULTIVARIABLE;U;G;ALVARADO RODRÍGUEZ, JOSÉ LUIS;T;S4-111;SA;10;12;36;;
FB303;CALCULO MULTIVARIABLE;V;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;P;S4-112;VI;14;16;36;;
FB303;CALCULO MULTIVARIABLE;V;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;T;S4-105;SA;10;12;36;;
FB303;CALCULO MULTIVARIABLE;V;G;ECHEANDIA CESPEDES, JAVIER FRANCISCO;T;S4-211;VI ;8;10;36;;
FB303;CALCULO MULTIVARIABLE;W;G;CHUNG CHING, RICARDO ALEJANDRO;P;S4-203;VI;14;16;36;;
FB303;CALCULO MULTIVARIABLE;W;G;ALVARADO RODRÍGUEZ, JOSÉ LUIS;T;S4-110;VI;16;18;36;;
FB303;CALCULO MULTIVARIABLE;W;G;ALVARADO RODRÍGUEZ, JOSÉ LUIS;T;S4-111;SA;12;14;36;;
FB303;CALCULO MULTIVARIABLE;X;G;BERMEO CARRASCO, OSMAR ARNALDO;P;S4-216;VI;14;16;36;;
FB303;CALCULO MULTIVARIABLE;X;G;BERMEO CARRASCO, OSMAR ARNALDO;T;S4-209;LU;10;12;36;;
FB303;CALCULO MULTIVARIABLE;X;G;BERMEO CARRASCO, OSMAR ARNALDO;T;S4-207;VI;10;12;36;;
FB303;CALCULO MULTIVARIABLE;Y;G;HERRERA VEGA, HECTOR ALEXIS;P;S4-205;VI;14;16;36;;
FB303;CALCULO MULTIVARIABLE;Y;G;HERRERA VEGA, HECTOR ALEXIS;T;S4-214;MA;10;12;36;;
FB303;CALCULO MULTIVARIABLE;Y;G;HERRERA VEGA, HECTOR ALEXIS;T;S4-211;JU;8;10;36;;
